0.25,-0.66,0.57,-149.24,-2.59,2.9,-5,999.77,83,0.56
0.25,-0.66,0.57,-149.24,-2.59,2.9,-5,999.77,83,0.56
0.25,-0.66,0.57,-149.24,-2.59,2.9,-5,999.77,83,0.56
0.3,-1.12,0.01,-160.03,2.65,-20.7,-5,999.77,83,0.56
0.3,-1.12,0.01,-160.03,2.65,-20.7,-5,999.77,83,0.56
0.3,-1.12,0.01,-160.03,2.65,-20.7,-5,999.77,83,0.56
0.3,-1.12,0.01,-160.03,2.65,-20.7,-5,999.77,83,0.56
0.3,-1.12,0.01,-160.03,2.65,-20.7,-5,999.77,83,0.56
0.35,-0.93,-0.08,-37.23,-11.37,0.73,-5,999.77,83,0.56
0.35,-0.93,-0.08,-37.23,-11.37,0.73,-5,999.77,83,0.56
0.35,-0.93,-0.08,-37.23,-11.37,0.73,-5,999.77,83,0.56
0.35,-0.93,-0.08,-37.23,-11.37,0.73,-5,999.77,83,0.56
0.35,-0.93,-0.08,-37.23,-11.37,0.73,-5,999.77,83,0.56
0.42,-0.77,-0.01,-40.55,5.06,-6.65,-5,999.77,83,1.08
0.42,-0.77,-0.01,-40.55,5.06,-6.65,-5,999.77,83,1.08
0.42,-0.77,-0.01,-40.55,5.06,-6.65,-5,999.77,83,1.08
0.42,-0.77,-0.01,-40.55,5.06,-6.65,-5,999.77,83,1.08
0.42,-0.77,-0.01,-40.55,5.06,-6.65,-5,999.77,83,1.08
0.42,-0.77,-0.01,-40.55,5.06,-6.65,-5,999.77,83,1.08
0.42,-0.77,-0.01,-40.55,5.06,-6.65,-5,999.77,83,1.08
0.57,-0.94,-0.25,-44.7,4.6,-9.05,-5,999.77,83,1.08
0.57,-0.94,-0.25,-44.7,4.6,-9.05,-5,999.77,83,1.08
0.57,-0.94,-0.25,-44.7,4.6,-9.05,-5,999.77,83,1.08
0.57,-0.94,-0.25,-44.7,4.6,-9.05,-5,999.77,83,1.08
0.57,-0.94,-0.25,-44.7,4.6,-9.05,-5,999.77,83,1.08
0.57,-0.94,-0.25,-44.7,4.6,-9.05,-5,999.77,83,1.08
0.52,-0.84,-0.2,38.02,11.19,-13.69,-2,999.72,83,1.08
0.52,-0.84,-0.2,38.02,11.19,-13.69,-2,999.72,83,1.08
0.52,-0.84,-0.2,38.02,11.19,-13.69,-2,999.72,83,1.08
0.52,-0.84,-0.2,38.02,11.19,-13.69,-2,999.72,83,1.08
0.52,-0.84,-0.2,38.02,11.19,-13.69,-2,999.72,83,1.08
0.6,-0.86,-0.01,62.13,-16.52,-9.33,-2,999.72,83,1.08
0.6,-0.86,-0.01,62.13,-16.52,-9.33,-2,999.72,83,1.08
0.6,-0.86,-0.01,62.13,-16.52,-9.33,-2,999.72,83,1.08
0.6,-0.86,-0.01,62.13,-16.52,-9.33,-2,999.72,83,1.08
0.6,-0.86,-0.01,62.13,-16.52,-9.33,-2,999.72,83,1.08
0.6,-0.86,-0.01,62.13,-16.52,-9.33,-2,999.72,83,1.08
0.49,-0.86,-0.1,37.53,-12.84,-3.63,-2,999.72,83,1.08
0.49,-0.86,-0.1,37.53,-12.84,-3.63,-2,999.72,83,1.08
0.49,-0.86,-0.1,37.53,-12.84,-3.63,-2,999.72,83,1.08
