@relation test
@attribute attribute1 numeric
@attribute attribute2 numeric
@attribute attribute3 numeric
@attribute attribute4 numeric
@attribute attribute5 numeric
@attribute attribute6 numeric
@attribute attribute7 numeric
@attribute attribute8 numeric
@attribute attribute9 numeric
@attribute attribute10 numeric
@attribute attribute11 numeric
@attribute attribute12 numeric
@attribute attribute13 numeric
@attribute attribute14 numeric
@attribute attribute15 numeric
@attribute attribute16 numeric
@attribute attribute17 numeric
@attribute attribute18 numeric
@attribute attribute19 numeric
@attribute attribute20 numeric
@attribute attribute21 numeric
@attribute attribute22 numeric
@attribute attribute23 numeric
@attribute attribute24 numeric
@attribute attribute25 numeric
@attribute attribute26 numeric
@attribute attribute27 numeric
@attribute attribute28 numeric
@attribute attribute29 numeric
@attribute attribute30 numeric
@attribute attribute31 numeric
@attribute attribute32 numeric
@attribute attribute33 numeric
@attribute attribute34 numeric
@attribute attribute35 numeric
@attribute attribute36 numeric
@attribute attribute37 numeric
@attribute attribute38 numeric
@attribute attribute39 numeric
@attribute attribute40 numeric
@attribute class {sit,stand}
@data
"0.06","0.40","0.40","0.40","0.40","0.40","0.40","0.40","0.88","0.88","0.88","0.88","0.88","0.88","0.88","0.67","0.67","0.67","0.67","0.67","0.67","0.55","0.55","0.55","0.55","0.55","0.55","0.55","0.55","1.04","1.04","1.04","1.04","1.04","0.40","0.40","0.40","0.40","0.40","0.40","sit"
"0.79","0.79","0.79","0.79","0.79","0.79","0.55","0.55","0.55","0.55","0.55","0.55","0.55","0.37","0.37","0.37","0.37","0.37","0.37","0.64","0.64","0.64","0.64","0.64","0.64","0.64","0.64","0.64","0.64","0.64","0.64","0.64","0.06","0.06","0.06","0.06","0.06","0.24","0.24","0.24","sit"
"0.24","0.24","0.24","0.24","0.37","0.37","0.37","0.37","0.37","0.37","0.06","0.06","0.06","0.06","0.06","0.06","0.30","0.30","0.30","0.30","0.30","0.30","0.30","0.52","0.52","0.52","0.52","0.52","0.52","0.73","0.73","0.73","0.73","0.73","0.73","0.03","0.03","0.03","0.03","0.03","sit"
"0.34","0.34","0.34","0.34","0.34","0.34","0.34","0.34","0.46","0.46","0.46","0.46","0.46","0.46","0.34","0.34","0.34","0.34","0.34","0.34","0.61","0.61","0.61","0.61","0.61","0.61","-0.03","-0.03","-0.03","-0.03","-0.03","-0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.37","sit"
"0.37","0.37","0.37","0.37","0.27","0.27","0.27","0.27","0.27","0.27","0.27","0.67","0.67","0.67","0.67","0.67","0.67","0.98","0.98","0.98","0.98","0.98","0.98","0.64","0.64","0.64","0.64","0.64","0.64","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.70","0.70","0.70","0.70","sit"
"0.70","0.30","0.30","0.30","0.30","0.30","0.30","0.30","0.52","0.52","0.52","0.52","0.52","0.52","0.58","0.58","0.58","0.58","0.58","0.58","0.58","0.43","0.43","0.43","0.43","0.43","0.73","0.73","0.73","0.73","0.73","0.73","0.73","0.61","0.61","0.61","0.61","0.61","0.21","0.21","sit"
"0.21","0.21","0.21","0.21","0.21","0.58","0.58","0.58","0.58","0.58","0.58","0.58","-0.12","-0.12","-0.12","-0.12","-0.12","1.01","1.01","1.01","1.01","1.01","1.01","1.01","1.01","1.01","1.01","1.01","1.01","0.70","0.70","0.70","0.70","0.70","0.70","0.70","0.70","0.34","0.34","0.34","sit"
"0.34","0.34","0.34","0.55","0.55","0.55","0.55","0.55","0.55","0.55","1.10","1.10","1.10","1.10","0.64","0.64","0.64","0.64","0.64","0.64","0.82","0.82","0.82","0.82","0.82","0.82","0.82","0.82","0.82","0.82","0.82","0.82","0.82","0.82","0.40","0.40","0.40","0.40","0.40","0.79","sit"
"2.41","2.41","2.41","0.67","0.67","0.67","0.67","0.67","0.67","0.67","2.07","2.07","2.07","2.07","2.07","2.10","2.10","2.10","2.10","2.10","2.10","2.10","0.43","0.43","0.43","0.43","0.43","0.91","0.91","0.91","0.91","0.91","0.91","0.91","-0.82","-0.82","-0.82","-0.82","-0.82","-0.82","stand"
"-0.82","0.46","0.46","0.46","0.46","0.46","0.46","-0.30","-0.30","-0.30","-0.30","-0.30","0.30","0.30","0.30","0.30","0.30","0.30","0.30","0.30","0.76","0.76","0.76","0.76","0.76","0.76","-0.76","-0.76","-0.76","-0.76","-0.76","2.10","2.10","2.10","2.10","2.10","2.10","2.10","0.12","0.12","stand"
"0.12","0.12","0.12","0.12","0.12","0.67","0.67","0.67","0.67","0.67","-0.49","-0.49","-0.49","-0.49","-0.49","-0.49","-0.67","-0.67","-0.67","-0.67","-0.67","-0.67","0.03","0.03","0.03","0.03","0.03","0.03","0.18","0.18","0.18","0.18","0.18","0.18","0.18","2.71","2.71","2.71","2.71","2.71","stand"
"2.71","2.01","2.01","2.01","2.01","2.01","2.01","0.76","0.76","0.76","0.76","0.76","6.07","6.07","6.07","6.07","6.07","6.07","6.07","1.77","1.77","1.77","1.77","1.77","1.77","1.77","7.87","7.87","7.87","7.87","7.87","5.43","5.43","5.43","5.43","5.43","5.43","-0.03","-0.03","-0.03","stand"
"-0.03","-0.03","-0.03","0.70","0.70","0.70","0.70","0.70","0.70","0.70","-0.95","-0.95","-0.95","-0.95","-0.95","-0.95","1.01","1.01","1.01","1.01","1.01","1.01","-0.85","-0.85","-0.85","-0.85","-0.85","-0.85","-0.85","1.98","1.98","1.98","1.98","1.98","0.85","0.85","0.85","0.85","0.85","0.85","stand"
"1.59","1.59","1.59","1.59","1.59","1.59","1.59","2.16","2.16","2.16","2.16","2.16","2.16","2.16","2.16","0.85","0.85","0.85","1.25","1.25","1.25","1.25","1.25","1.25","1.25","0.52","0.52","0.52","0.52","0.52","0.52","-0.34","-0.34","-0.34","-0.34","-0.34","-0.34","-0.67","-0.67","-0.67","stand"
"-0.67","-0.67","-0.67","-0.67","-0.55","-0.55","-0.55","-0.55","-0.55","-0.55","0.61","0.61","0.61","0.61","0.61","0.61","1.37","1.37","1.37","1.37","1.37","1.37","1.37","0.76","0.76","0.76","0.76","0.76","0.61","0.61","0.61","0.61","0.61","0.61","0.61","0.61","1.77","1.77","1.77","1.77","stand"
"1.77","0.55","0.55","0.55","0.55","0.55","0.55","0.82","0.82","0.82","0.82","0.82","0.82","4.30","4.30","4.30","4.30","4.30","4.30","4.30","0.12","0.12","0.12","0.12","0.12","0.12","0.49","0.49","0.49","0.49","0.49","0.49","1.31","1.31","1.31","1.31","1.31","1.31","1.28","1.28","stand"
"1.28","1.28","1.28","1.28","-0.30","-0.30","-0.30","-0.30","-0.30","-0.30","-0.30","0.37","0.37","0.37","0.37","0.37","0.37","0.37","0.55","0.55","0.55","0.55","0.55","0.15","0.15","0.15","0.15","0.15","0.15","0.43","0.43","0.43","0.43","0.43","0.46","0.46","0.46","0.46","0.46","0.46","stand"
"0.46","1.43","1.43","1.43","1.43","1.43","1.43","0.18","0.18","0.18","0.18","0.18","0.18","0.18","1.46","1.46","1.46","1.46","1.46","1.46","2.68","2.68","2.68","2.68","2.68","2.68","1.77","1.77","1.77","1.77","1.77","1.77","1.77","1.77","1.77","1.77","1.77","1.22","1.22","1.22","stand"
"1.22","1.22","1.22","0.79","0.79","0.79","0.79","0.79","0.79","0.79","0.79","0.09","0.09","0.09","0.09","0.09","0.09","1.49","1.49","1.49","1.49","1.49","1.49","1.28","1.28","1.28","1.28","1.28","1.28","2.47","2.47","2.47","2.47","2.47","2.47","-0.98","-0.98","-0.98","-0.98","-0.98","stand"
"-0.98","2.99","2.99","2.99","2.99","2.99","2.99","1.71","1.71","1.71","1.71","1.71","0.52","0.52","0.52","0.52","0.52","0.52","0.52","0.21","0.21","0.21","0.21","0.21","0.21","0.98","0.98","0.98","0.98","0.98","0.98","1.07","1.07","1.07","1.07","1.07","1.07","-0.21","-0.21","-0.21","stand"
