@relation test
@attribute attribute1 numeric
@attribute attribute2 numeric
@attribute attribute3 numeric
@attribute attribute4 numeric
@attribute attribute5 numeric
@attribute attribute6 numeric
@attribute attribute7 numeric
@attribute attribute8 numeric
@attribute attribute9 numeric
@attribute attribute10 numeric
@attribute attribute11 numeric
@attribute attribute12 numeric
@attribute attribute13 numeric
@attribute attribute14 numeric
@attribute attribute15 numeric
@attribute attribute16 numeric
@attribute attribute17 numeric
@attribute attribute18 numeric
@attribute attribute19 numeric
@attribute attribute20 numeric
@attribute attribute21 numeric
@attribute attribute22 numeric
@attribute attribute23 numeric
@attribute attribute24 numeric
@attribute attribute25 numeric
@attribute attribute26 numeric
@attribute attribute27 numeric
@attribute attribute28 numeric
@attribute attribute29 numeric
@attribute attribute30 numeric
@attribute attribute31 numeric
@attribute attribute32 numeric
@attribute attribute33 numeric
@attribute attribute34 numeric
@attribute attribute35 numeric
@attribute attribute36 numeric
@attribute attribute37 numeric
@attribute attribute38 numeric
@attribute attribute39 numeric
@attribute attribute40 numeric
@attribute class {sit,stand}
@data
"-0.03","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.37","-0.37","-0.37","-0.37","-0.37","-0.37","-0.37","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.06","-0.06","-0.06","-0.06","-0.06","-0.06","-0.06","-0.06","-0.64","-0.64","-0.64","-0.64","-0.64","-0.70","-0.70","-0.70","-0.70","-0.70","-0.70","sit"
"-0.64","-0.64","-0.64","-0.64","-0.64","-0.64","-0.27","-0.27","-0.27","-0.27","-0.27","-0.27","-0.27","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.27","-0.27","-0.27","-0.27","-0.27","-0.27","-0.15","-0.15","-0.15","-0.15","-0.15","-0.64","-0.64","-0.64","sit"
"-0.64","-0.64","-0.64","-0.64","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.30","-0.30","-0.30","-0.30","-0.30","-0.30","-0.52","-0.52","-0.52","-0.52","-0.52","-0.52","-0.52","-0.46","-0.46","-0.46","-0.46","-0.46","-0.46","-0.52","-0.52","-0.52","-0.52","-0.52","-0.52","-0.61","-0.61","-0.61","-0.61","-0.61","sit"
"-0.09","-0.09","-0.09","-0.09","-0.09","-0.09","-0.09","-0.09","-0.34","-0.34","-0.34","-0.34","-0.34","-0.34","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","0.00","0.00","0.00","0.00","0.00","0.00","-0.15","-0.15","-0.15","-0.15","-0.15","-0.15","-0.52","-0.52","-0.52","-0.52","-0.52","-0.52","-0.52","-0.30","sit"
"-0.30","-0.30","-0.30","-0.30","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.21","-0.24","-0.24","-0.24","-0.24","-0.24","-0.24","-0.27","-0.27","-0.27","-0.27","-0.27","-0.27","-0.12","-0.12","-0.12","-0.12","-0.12","-0.12","-0.52","-0.52","-0.52","-0.52","-0.52","-0.52","-0.52","-0.61","-0.61","-0.61","-0.61","sit"
"-0.61","0.15","0.15","0.15","0.15","0.15","0.15","0.15","-0.06","-0.06","-0.06","-0.06","-0.06","-0.06","-0.40","-0.40","-0.40","-0.40","-0.40","-0.40","-0.40","-0.27","-0.27","-0.27","-0.27","-0.27","-0.37","-0.37","-0.37","-0.37","-0.37","-0.37","-0.37","-0.27","-0.27","-0.27","-0.27","-0.27","-0.15","-0.15","sit"
"-0.15","-0.15","-0.15","-0.15","-0.15","0.73","0.73","0.73","0.73","0.73","0.73","0.73","-0.15","-0.15","-0.15","-0.15","-0.15","-1.25","-1.25","-1.25","-1.25","-1.25","-1.25","-1.25","-1.25","-1.25","-1.25","-1.25","-1.25","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","-0.21","-0.21","-0.21","sit"
"-0.21","-0.21","-0.21","-0.24","-0.24","-0.24","-0.24","-0.24","-0.24","-0.24","-0.37","-0.37","-0.37","-0.37","-0.18","-0.18","-0.18","-0.18","-0.18","-0.18","-0.06","-0.06","-0.06","-0.06","-0.06","-0.06","-0.06","-0.43","-0.43","-0.43","-0.43","-0.43","-0.43","-0.43","0.00","0.00","0.00","0.00","0.00","-1.25","sit"
"1.22","1.22","1.22","-0.52","-0.52","-0.52","-0.52","-0.52","-0.52","-0.52","1.19","1.19","1.19","1.19","1.19","-0.12","-0.12","-0.12","-0.12","-0.12","-0.12","-0.12","-0.03","-0.03","-0.03","-0.03","-0.03","-0.03","-0.03","-0.03","-0.03","-0.03","-0.03","-0.03","-0.46","-0.46","-0.46","-0.46","-0.46","-0.46","stand"
"-0.46","-0.79","-0.79","-0.79","-0.79","-0.79","-0.79","0.15","0.15","0.15","0.15","0.15","0.24","0.24","0.24","0.24","0.24","0.24","0.24","0.24","-0.18","-0.18","-0.18","-0.18","-0.18","-0.18","-0.55","-0.55","-0.55","-0.55","-0.55","-0.49","-0.49","-0.49","-0.49","-0.49","-0.49","-0.49","-0.18","-0.18","stand"
"-0.18","-0.18","-0.18","-0.18","-0.18","-0.34","-0.34","-0.34","-0.34","-0.34","0.49","0.49","0.49","0.49","0.49","0.49","-0.03","-0.03","-0.03","-0.03","-0.03","-0.03","-0.85","-0.85","-0.85","-0.85","-0.85","-0.85","-0.46","-0.46","-0.46","-0.46","-0.46","-0.46","-0.46","-0.46","-0.46","-0.46","-0.46","-0.46","stand"
