@relation test
@attribute attribute1 numeric
@attribute attribute2 numeric
@attribute attribute3 numeric
@attribute attribute4 numeric
@attribute attribute5 numeric
@attribute attribute6 numeric
@attribute attribute7 numeric
@attribute attribute8 numeric
@attribute attribute9 numeric
@attribute attribute10 numeric
@attribute attribute11 numeric
@attribute attribute12 numeric
@attribute attribute13 numeric
@attribute attribute14 numeric
@attribute attribute15 numeric
@attribute attribute16 numeric
@attribute attribute17 numeric
@attribute attribute18 numeric
@attribute attribute19 numeric
@attribute attribute20 numeric
@attribute attribute21 numeric
@attribute attribute22 numeric
@attribute attribute23 numeric
@attribute attribute24 numeric
@attribute attribute25 numeric
@attribute attribute26 numeric
@attribute attribute27 numeric
@attribute attribute28 numeric
@attribute attribute29 numeric
@attribute attribute30 numeric
@attribute class {3,4,5,8}
@data
1.7976931348623157E308,0.0,35.9393,7.744700000000002,1.7976931348623157E308,1.7976931348623157E308,9.641599999999999,9.8213,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,4445.767499999998,153356.5527,1.7976931348623157E308,613.2980000000001,1.7976931348623157E308,1.7976931348623157E308,1180.0,1909.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,26.589999999998824,1286.0,1.7976931348623157E308,1010.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
1.7976931348623157E308,1.2914000000000003,10.5192,3.890499999999999,1.7976931348623157E308,1.7976931348623157E308,4.156299999999999,3.7624000000000004,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,52469.5219,7913.064199999999,1.7976931348623157E308,276289.4081,1.7976931348623157E308,1.7976931348623157E308,1652.0,2527.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,26.911999999998525,1025.0,1.7976931348623157E308,1210.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
1.7976931348623157E308,20.952999999999996,1.2103000000000002,7.000200000000002,1.7976931348623157E308,1.7976931348623157E308,0.3429,2.7287999999999997,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,48635.98089999999,60036.72890000001,1.7976931348623157E308,226356.51349999994,1.7976931348623157E308,1.7976931348623157E308,2260.0,3275.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,26.911999999998525,1025.0,1.7976931348623157E308,1210.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
1.7976931348623157E308,22.5837,1.2126000000000008,6.059199999999999,1.7976931348623157E308,1.7976931348623157E308,0.29470000000000013,2.849400000000001,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,26741.62449999999,73641.27539999997,1.7976931348623157E308,137267.8669,1.7976931348623157E308,1.7976931348623157E308,3957.0,5272.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,27.72439999999775,759.0,1.7976931348623157E308,1441.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
1.7976931348623157E308,19.726100000000002,1.399000000000001,12.3024,1.7976931348623157E308,1.7976931348623157E308,0.1078,2.762299999999999,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,23654.02570000001,248627.44129999998,1.7976931348623157E308,246604.2613,1.7976931348623157E308,1.7976931348623157E308,3452.0,4685.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,26.44999999999896,759.0,1.7976931348623157E308,1450.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
1.7976931348623157E308,21.5905,1.100700000000001,8.184600000000001,1.7976931348623157E308,1.7976931348623157E308,0.0858,2.0937,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,32034.57909999999,41061.952999999994,1.7976931348623157E308,114647.47019999992,1.7976931348623157E308,1.7976931348623157E308,2704.0,3805.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,26.44999999999896,759.0,1.7976931348623157E308,1450.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
1.7976931348623157E308,19.463900000000006,1.8507000000000005,8.1651,1.7976931348623157E308,1.7976931348623157E308,0.0,2.4994,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,16310.439399999996,78478.25219999999,1.7976931348623157E308,69939.6543,1.7976931348623157E308,1.7976931348623157E308,1856.0,2785.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,26.888899999998547,759.0,1.7976931348623157E308,1243.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
1.7976931348623157E308,20.156499999999994,0.9460000000000002,9.860399999999995,1.7976931348623157E308,1.7976931348623157E308,0.01049999999999999,2.5024000000000006,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,6559.3651999999975,132999.39880000002,1.7976931348623157E308,30053.633000000023,1.7976931348623157E308,1.7976931348623157E308,1168.0,1925.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,25.991999999999386,1025.0,1.7976931348623157E308,1126.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
1.7976931348623157E308,21.548100000000005,1.2188000000000005,12.057,1.7976931348623157E308,1.7976931348623157E308,0.08070000000000001,3.0362000000000005,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,14355.854100000004,76555.80539999998,1.7976931348623157E308,130984.50459999996,1.7976931348623157E308,1.7976931348623157E308,436.0,935.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,24.642000000000614,1331.0,1.7976931348623157E308,1010.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
1.7976931348623157E308,24.284099999999995,0.5035000000000007,12.498300000000004,1.7976931348623157E308,1.7976931348623157E308,0.07210000000000003,1.9424999999999994,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,19484.114100000006,161162.6786,1.7976931348623157E308,151430.51290000003,1.7976931348623157E308,1.7976931348623157E308,277.0,688.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,24.642000000000614,1639.0,1.7976931348623157E308,844.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
1.7976931348623157E308,20.711899999999996,1.6257000000000006,13.161000000000003,1.7976931348623157E308,1.7976931348623157E308,0.3473000000000001,1.2706,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,10399.745699999994,73809.8895,1.7976931348623157E308,150258.2384,1.7976931348623157E308,1.7976931348623157E308,272.0,685.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,25.088000000000214,1924.0,1.7976931348623157E308,695.0,1.7976931348623157E308,1.7976931348623157E308,1.7976931348623157E308,3
